Site,Query_Seq_ID,Hit_Seq_ID,GTDBtk_taxonomy
DeMMO1,OTU_4513,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_4519,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO2,OTU_4543,DeMMO2_52,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_4550,DeMMO3_1,D_0__Bacteria; D_1__Edwardsbacteria
DeMMO1,OTU_458,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_4584,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_459,DeMMO2_50,D_0__Bacteria; D_1__Micrarchaeota
DeMMO3,OTU_4615,DeMMO3_36,D_0__Bacteria; D_1__Patescibacteria
DeMMO4,OTU_4630,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO2,OTU_4663,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_4760,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO1,OTU_4841,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO5,OTU_486,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_4870,DeMMO2_9,D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae
DeMMO2,OTU_4872,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO1,OTU_4928,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO3,OTU_4958,DeMMO3_67,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_4975,DeMMO2_33,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO2,OTU_498,DeMMO2_20,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO5,OTU_500,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria
