"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"472","fluid_inert.control",1.49271701730402e-05,"Bacteroidetes.Bacteroidia.Bacteroidetes VC2.1 Bac22.Other",0.511000553092206,0.688830538579293,"NA","1.30434782608696e-05","3.44350221575091e-05","1.17647058823529e-05","4.85071250072666e-05"
"473","fluid_inert.control",1.49271701729292e-05,"Chloroflexi.Anaerolineae.MSB-5E12.uncultured bacterium",0.76450997363739,0.834471676532855,"NA","1.30434782608696e-05","4.5769658728016e-05","1.17647058823529e-05","4.85071250072666e-05"
"474","fluid_inert.control",1.4927170172041e-05,"Patescibacteria.Parcubacteria.Candidatus Nomurabacteria.Ambiguous_taxa",0.76450997363739,0.834471676532855,"NA","1.30434782608696e-05","4.5769658728016e-05","1.17647058823529e-05","4.85071250072666e-05"
"475","fluid_inert.control",1.49271701730402e-05,"Verrucomicrobia.Verrucomicrobiae.B29.uncultured bacterium",0.511000553092206,0.688830538579293,"NA","1.30434782608696e-05","3.44350221575091e-05","1.17647058823529e-05","4.85071250072666e-05"
"476","fluid_inert.control",1.45991004989465e-05,"Fibrobacteres.Fibrobacteria.Fibrobacterales.Fibrobacteraceae",0.856306800655314,0.899404191676438,"NA","1.73913043478261e-05","8.34057656228299e-05","5.88235294117647e-06","2.42535625036333e-05"
"477","fluid_inert.control",1.39429611499819e-05,"Nanoarchaeaeota.Woesearchaeia.Candidatus Pacearchaeota archaeon CG1_02_32_21.Candidatus Pacearchaeota archaeon CG1_02_32_21",0.073807789882741,0.241008935288835,"NA","2.17391304347826e-05","5.18434859512082e-05","0","0"
"478","fluid_inert.control",1.39429611499819e-05,"Acidobacteria.Acidobacteriia.Subgroup 2.Other",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","5.9973643750101e-05","0","0"
"479","fluid_inert.control",1.3942961150093e-05,"BRC1.uncultured organism.uncultured organism.uncultured organism",0.445794209635075,0.64970227407876,"NA","1.73913043478261e-05","4.91026190103531e-05","5.88235294117647e-06","2.42535625036333e-05"
"480","fluid_inert.control",1.39429611509811e-05,"Chloroflexi.Dehalococcoidia.GIF9.uncultured bacterium",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","5.9973643750101e-05","0","0"
"481","fluid_inert.control",1.39429611499819e-05,"Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae",0.389939573303625,0.610726577284184,"NA","2.17391304347826e-05","0.000104257207028537","0","0"
"482","fluid_inert.control",1.39429611499819e-05,"Margulisbacteria.uncultured bacterium.uncultured bacterium.uncultured bacterium",0.389939573303625,0.610726577284184,"NA","2.17391304347826e-05","0.000104257207028537","0","0"
"483","fluid_inert.control",1.39429611509811e-05,"Patescibacteria.Microgenomatia.Candidatus Amesbacteria.Other",0.389939573303625,0.610726577284184,"NA","2.17391304347826e-05","0.000104257207028537","0","0"
"484","fluid_inert.control",1.39429611499819e-05,"Patescibacteria.Microgenomatia.Candidatus Daviesbacteria.uncultured Microgenomates group bacterium",0.073807789882741,0.241008935288835,"NA","2.17391304347826e-05","5.18434859512082e-05","0","0"
"485","fluid_inert.control",1.39429611499819e-05,"Patescibacteria.Microgenomatia.Candidatus Daviesbacteria.uncultured bacterium",0.218200767643049,0.448769165551933,"NA","2.17391304347826e-05","8.5048230910629e-05","0","0"
"486","fluid_inert.control",1.39429611510922e-05,"Patescibacteria.Parcubacteria.Candidatus Colwellbacteria.Other",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","5.9973643750101e-05","0","0"
"487","fluid_inert.control",1.39429611499819e-05,"Patescibacteria.Parcubacteria.Candidatus Yanofskybacteria.Other",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","5.9973643750101e-05","0","0"
"488","fluid_inert.control",1.39429611499819e-05,"Alphaproteobacteria.Rhizobiales.A0839",0.218200767643049,0.448769165551933,"NA","2.17391304347826e-05","8.5048230910629e-05","0","0"
"489","fluid_inert.control",1.39429611509811e-05,"Deltaproteobacteria.MBNT15.Deltaproteobacteria bacterium RBG_13_61_14",0.389939573303625,0.610726577284184,"NA","2.17391304347826e-05","0.000104257207028537","0","0"
"490","fluid_inert.control",1.39429611499819e-05,"Deltaproteobacteria.Myxococcales.UASB-TL25",0.218200767643049,0.448769165551933,"NA","2.17391304347826e-05","8.5048230910629e-05","0","0"
"491","fluid_inert.control",1.39429611499819e-05,"Hadesarchaeaeota.Other.Other.Other",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","6.71262158456362e-05","0","0"
"492","fluid_inert.control",1.39429611510922e-05,"Chloroflexi.Dehalococcoidia.Sh765B-AG-111.uncultured bacterium",0.126568439086827,0.336050231101504,"NA","2.17391304347826e-05","6.71262158456362e-05","0","0"
"493","fluid_inert.control",1.39429611499819e-05,"Elusimicrobia.Elusimicrobia.Other.Other",0.218200767643049,0.448769165551933,"NA","2.17391304347826e-05","7.35868178605778e-05","0","0"
"494","fluid_inert.control",1.39429611499819e-05,"LCP-89.Other.Other.Other",0.218200767643049,0.448769165551933,"NA","2.17391304347826e-05","7.35868178605778e-05","0","0"
"495","fluid_inert.control",1.24666476170043e-05,"Actinobacteria.Acidimicrobiia.Microtrichales.Ilumatobacteraceae",0.827924387307406,0.877221320522945,"NA","8.69565217391304e-06","4.1702882811415e-05","1.17647058823529e-05","4.85071250072666e-05"
